Code	Name	Name KH	Category Code	Unit ID	Cost	Price	Alert Quantity	 Tax Rate Name	Tax Method	Subcategory Code	Product Variants Separated by |	Supplier1(No)	Supplier2(No)	Supplier3(No)	Supplier4(No)	Supplier5(No)	Custom Field 1	Custom Field 2	Custom Field 3	Custom Field 4	Custom Field 5	Custom Field 6	Image	Type(standard or service)
LD-808P	??????? ???		LD168	1	5	15	10	 No Tax	 exclusive	LD808	S=1_15|M=1_15|L=1_15|XL=1_15|2XL=1_15|3XL=1_15												no_image.png	standard
LD-808W	??????? ?		LD168	1	5	15	10	 No Tax	 exclusive	LD808	S=1_15|M=1_15|L=1_15|XL=1_15|2XL=1_15|3XL=1_15												no_image.png	standard
LD-808R	??????? ?????		LD168	1	5	15	10	 No Tax	 exclusive	LD808	S=1_15|M=1_15|L=1_15|XL=1_15|2XL=1_15|3XL=1_15												no_image.png	standard
LD-808Y	??????? ???		LD168	1	5	15	10	 No Tax	 exclusive	LD808	S=1_15|M=1_15|L=1_15|XL=1_15|2XL=1_15|3XL=1_15												no_image.png	standard
LD-742Br	??????? ?????		LD168	1	5	15	10	 No Tax	 exclusive	LD742													no_image.png	standard
LD-742Y	??????? ???		LD168	1	5	15	10	 No Tax	 exclusive	LD742													no_image.png	standard
LD-742Pu	??????? ?????		LD168	1	5	15	10	 No Tax	 exclusive	LD742													no_image.png	standard
LD-742Bl	??????? ???		LD168	1	5	15	10	 No Tax	 exclusive	LD742													no_image.png	standard
LD-742R	??????? ?????		LD168	1	5	15	10	 No Tax	 exclusive	LD742													no_image.png	standard
LD-742W	??????? ?		LD168	1	5	15	10	 No Tax	 exclusive	LD742													no_image.png	standard
LD-902W	??????? ?		LD168	1	5	13	10	 No Tax	 exclusive	LD902	M=1_13|L=1_13|XL=1_13|2XL=1_13|3XL=1_13												no_image.png	standard
LD-902B	??????? ????		LD168	1	5	13	10	 No Tax	 exclusive	LD902	M=1_13|L=1_13|XL=1_13|2XL=1_13|3XL=1_13												no_image.png	standard
LD-653Bl	??????? ???		LD168	1	5	13	10	 No Tax	 exclusive	LD653	S=1_13|M=1_13|L=1_13|XL=1_13|2XL=1_13												no_image.png	standard
LD-653B	??????? ????		LD168	1	5	13	10	 No Tax	 exclusive	LD653	S=1_13|M=1_13|L=1_13|XL=1_13|2XL=1_13												no_image.png	standard
LD-653P	??????? ???		LD168	1	5	13	10	 No Tax	 exclusive	LD653	S=1_13|M=1_13|L=1_13|XL=1_13|2XL=1_13												no_image.png	standard
LD-653R	??????? ?????		LD168	1	5	13	10	 No Tax	 exclusive	LD653	S=1_13|M=1_13|L=1_13|XL=1_13|2XL=1_13												no_image.png	standard
LD-889R	??????? ?????		LD168	1	5	17	10	 No Tax	 exclusive	LD889	M=1_17|L=1_17|XL=1_17|2XL=1_17|3XL=1_17|4XL=1_17												no_image.png	standard
LD-889Bl	??????? ???		LD168	1	5	17	10	 No Tax	 exclusive	LD889	M=1_17|L=1_17|XL=1_17|2XL=1_17|3XL=1_17|4XL=1_17												no_image.png	standard
LD-889W	??????? ?		LD168	1	5	17	10	 No Tax	 exclusive	LD889	M=1_17|L=1_17|XL=1_17|2XL=1_17|3XL=1_17|4XL=1_17												no_image.png	standard
LD-889B	??????? ????		LD168	1	5	17	10	 No Tax	 exclusive	LD889	M=1_17|L=1_17|XL=1_17|2XL=1_17|3XL=1_17|4XL=1_17												no_image.png	standard
LD-100Bl	??????? ???		LD168	1	5	15	10	 No Tax	 exclusive	LD100	S=1_15|M=1_15|L=1_15|XL=1_15|2XL=1_15												no_image.png	standard
LD-100B	??????? ????		LD168	1	5	15	10	 No Tax	 exclusive	LD100	S=1_15|M=1_15|L=1_15|XL=1_15|2XL=1_15												no_image.png	standard
LD-100Gr	??????? ??????		LD168	1	5	15	10	 No Tax	 exclusive	LD100	S=1_15|M=1_15|L=1_15|XL=1_15|2XL=1_15												no_image.png	standard
LD-100W	??????? ?		LD168	1	5	15	10	 No Tax	 exclusive	LD100	S=1_15|M=1_15|L=1_15|XL=1_15|2XL=1_15												no_image.png	standard
LD-618W	??????? ?		LD168	1	5	9	10	 No Tax	 exclusive	LD618	S=1_9|M=1_9|L=1_9|XL=1_9|2XL=1_9|3XL=1_9												no_image.png	standard
LD-618B	??????? ????		LD168	1	5	9	10	 No Tax	 exclusive	LD618	S=1_9|M=1_9|L=1_9|XL=1_9|2XL=1_9|3XL=1_9												no_image.png	standard
LD-618P	??????? ???		LD168	1	5	9	10	 No Tax	 exclusive	LD618	S=1_9|M=1_9|L=1_9|XL=1_9|2XL=1_9|3XL=1_9												no_image.png	standard
