Code,Name,Image,ac_sale,ac_cost,ac_stock,ac_stock_adj,ac_cost_variant,ac_purchase
KD168,សម្លៀកបំពាក់ក្មេងស្រី,,,,,,,
KK168,សម្លៀក​បំពាក់ក្មេងប្រុស,,,,,,,
LD168,សម្លៀកបំពាក់នារី,,,,,,,
KSG168,ស្បែកជើងក្មេងស្រី,,,,,,,
KSB168,ស្បែកជើងក្មេងប្រុស,,,,,,,
SH168,ស្បែកជើងនារី,,,,,,,
