Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
KD-7647,រ៉ូប(2),,KD168,1,5,20,10, No Tax, exclusive,KD7647,110=1_20|120=1_20|130=1_20|140=1_20|150=1_20|160=1_20,,,,,,,,,,,,no_image.png,standard
KD-7647,រ៉ូប(3),,KD168,1,5,20,10, No Tax, exclusive,KD7647,110=1_20|120=1_20|130=1_20|140=1_20|150=1_20|160=1_20,,,,,,,,,,,,no_image.png,standard
KD-7038,រ៉ូប,,KD168,1,5,9,10, No Tax, exclusive,KD7038,90=1_9|100=1_9|110=1_9|120=1_9|130=1_9|140=1_9,,,,,,,,,,,,no_image.png,standard
KD-7524,រ៉ូប,,KD168,1,5,16,10, No Tax, exclusive,KD7524,110=1_16|120=1_16|130=1_16|140=1_16|150=1_16|160=1_16,,,,,,,,,,,,no_image.png,standard
KD-7555P1,រ៉ូប ឈូក(1),,KD168,1,5,12,10, No Tax, exclusive,KD7555,110=1_12|120=1_12|130=1_12|140=1_12|150=1_12|160=1_12,,,,,,,,,,,,no_image.png,standard
KD-7555P2,រ៉ូប ឈូក(2),,KD168,1,5,12,10, No Tax, exclusive,KD7555,110=1_12|120=1_12|130=1_12|140=1_12|150=1_12|160=1_12,,,,,,,,,,,,no_image.png,standard
KD-7555P3,រ៉ូប ឈូក(3),,KD168,1,5,12,10, No Tax, exclusive,KD7555,110=1_12|120=1_12|130=1_12|140=1_12|150=1_12|160=1_12,,,,,,,,,,,,no_image.png,standard
KD-7299Bl1,រ៉ូប ផ្ទៃមេឃ(1),,KD168,1,5,20,10, No Tax, exclusive,KD7299,100=1_20|110=1_20|120=1_20|130=1_20|140=1_20|150=1_20,,,,,,,,,,,,no_image.png,standard
KD-7299P2,រ៉ូប ឈូក(2),,KD168,1,5,20,10, No Tax, exclusive,KD7299,100=1_20|110=1_20|120=1_20|130=1_20|140=1_20|150=1_20,,,,,,,,,,,,no_image.png,standard
KD-7299P3,រ៉ូប ឈូក(3),,KD168,1,5,20,10, No Tax, exclusive,KD7299,100=1_20|110=1_20|120=1_20|130=1_20|140=1_20|150=1_20,,,,,,,,,,,,no_image.png,standard
