Code,Name,Name KH,Category Code,Unit ID,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Supplier1(No),Supplier2(No),Supplier3(No),Supplier4(No),Supplier5(No),Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,Image,Type(standard or service)
LD-731W,អាវស្រី ស,,LD168,1,5,10.5,10, No Tax, exclusive,LD731,S=1_10.5|M=1_10.5|L=1_10.5|XL=1_10.5|2XL=1_10.5|3XL=1_10.5|4XL=1_10.5,,,,,,,,,,,,no_image.png,standard
LD-731B,អាវស្រី ខ្មៅ,,LD168,1,5,10.5,10, No Tax, exclusive,LD731,S=1_10.5|M=1_10.5|L=1_10.5|XL=1_10.5|2XL=1_10.5|3XL=1_10.5|4XL=1_10.5,,,,,,,,,,,,no_image.png,standard
LD-731R,អាវស្រី ក្រហម,,LD168,1,5,10.5,10, No Tax, exclusive,LD731,S=1_10.5|M=1_10.5|L=1_10.5|XL=1_10.5|2XL=1_10.5|3XL=1_10.5|4XL=1_10.5,,,,,,,,,,,,no_image.png,standard
LD-731G,អាវស្រី បៃតង,,LD168,1,5,10.5,10, No Tax, exclusive,LD731,S=1_10.5|M=1_10.5|L=1_10.5|XL=1_10.5|2XL=1_10.5|3XL=1_10.5|4XL=1_10.5,,,,,,,,,,,,no_image.png,standard
LD-530Gr,អាវស្រី ប្រផេះ,,LD168,1,5,13,10, No Tax, exclusive,LD530,S=1_13|M=1_13|L=1_13|XL=1_13,,,,,,,,,,,,no_image.png,standard
LD-530W,អាវស្រី ស,,LD168,1,5,13,10, No Tax, exclusive,LD530,S=1_13|M=1_13|L=1_13|XL=1_13,,,,,,,,,,,,no_image.png,standard
LD-530R,អាវស្រី ក្រហម,,LD168,1,5,13,10, No Tax, exclusive,LD530,S=1_13|M=1_13|L=1_13|XL=1_13,,,,,,,,,,,,no_image.png,standard
LD-530P,អាវស្រី ឈូក,,LD168,1,5,13,10, No Tax, exclusive,LD530,S=1_13|M=1_13|L=1_13|XL=1_13,,,,,,,,,,,,no_image.png,standard
LD-413P,អាវស្រី ឈូក,,LD168,1,5,15,10, No Tax, exclusive,LD413,S=1_15|M=1_15|L=1_15|XL=1_15|2XL=1_15,,,,,,,,,,,,no_image.png,standard
LD-413B,អាវស្រី ខ្មៅ,,LD168,1,5,15,10, No Tax, exclusive,LD413,S=1_15|M=1_15|L=1_15|XL=1_15|2XL=1_15,,,,,,,,,,,,no_image.png,standard
LD-413W,អាវស្រី ស,,LD168,1,5,15,10, No Tax, exclusive,LD413,S=1_15|M=1_15|L=1_15|XL=1_15|2XL=1_15,,,,,,,,,,,,no_image.png,standard
LD-915P,អាវស្រី ឈូក,,LD168,1,5,12,10, No Tax, exclusive,LD915,S=1_12|M=1_12|L=1_12|XL=1_12|2XL=1_12|3XL=1_12,,,,,,,,,,,,no_image.png,standard
LD-915B,អាវស្រី ខ្មៅ,,LD168,1,5,12,10, No Tax, exclusive,LD915,S=1_12|M=1_12|L=1_12|XL=1_12|2XL=1_12|3XL=1_12,,,,,,,,,,,,no_image.png,standard
LD-915W,អាវស្រី ស,,LD168,1,5,12,10, No Tax, exclusive,LD915,S=1_12|M=1_12|L=1_12|XL=1_12|2XL=1_12|3XL=1_12,,,,,,,,,,,,no_image.png,standard
LD-915Pu,អាវស្រី ស្វាយ,,LD168,1,5,12,10, No Tax, exclusive,LD915,S=1_12|M=1_12|L=1_12|XL=1_12|2XL=1_12|3XL=1_12,,,,,,,,,,,,no_image.png,standard
LD-915Bl,អាវស្រី ខៀវ,,LD168,1,5,12,10, No Tax, exclusive,LD915,S=1_12|M=1_12|L=1_12|XL=1_12|2XL=1_12|3XL=1_12,,,,,,,,,,,,no_image.png,standard
LD-982W,អាវស្រី ស,,LD168,1,5,12,10, No Tax, exclusive,LD982,S=1_12|M=1_12|L=1_12|XL=1_12|2XL=1_12,,,,,,,,,,,,no_image.png,standard
LD-982P,អាវស្រី ឈូក,,LD168,1,5,12,10, No Tax, exclusive,LD982,S=1_12|M=1_12|L=1_12|XL=1_12|2XL=1_12,,,,,,,,,,,,no_image.png,standard
